chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	700244	714068	-	100288069	LOC100288069	16	1.20618832E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	761585	762902	-	79854	LINC00115	79	1.4261044E-1	DAVIES_SUCCESS
chr1	762970	794826	+	643837	LOC643837	127	2.25780884E-1	DAVIES_SUCCESS
chr1	803450	812182	-	284593	FAM41C	178	2.8516924E-1	DAVIES_SUCCESS
chr1	852952	854817	-	100130417	LOC100130417	183	7.32206093E-1	DAVIES_SUCCESS
chr1	860529	879961	+	148398	SAMD11	228	8.80517233E-1	DAVIES_SUCCESS
chr1	879582	894679	-	26155	NOC2L	257	9.47089886E-1	DAVIES_SUCCESS
chr1	895966	901099	+	339451	KLHL17	217	9.23943229E-1	DAVIES_SUCCESS
chr1	901876	910484	+	84069	PLEKHN1	225	9.23509733E-1	DAVIES_SUCCESS
chr1	910578	917473	-	84808	C1orf170	214	9.40144663E-1	DAVIES_SUCCESS
chr1	934341	935552	-	57801	HES4	221	9.33473047E-1	DAVIES_SUCCESS
chr1	948846	949919	+	9636	ISG15	223	9.17476154E-1	DAVIES_SUCCESS
chr1	955502	991499	+	375790	AGRN	300	8.60249665E-1	DAVIES_SUCCESS
chr1	1007125	1009687	-	401934	RNF223	235	5.97024995E-1	DAVIES_SUCCESS
chr1	1017197	1051736	-	54991	C1orf159	313	4.17592722E-1	DAVIES_SUCCESS
chr1	1072396	1079434	+	254099	LOC254099	298	3.26952508E-1	DAVIES_SUCCESS
chr1	1102483	1102578	+	406984	MIR200B	291	4.77547426E-1	DAVIES_SUCCESS
chr1	1103242	1103332	+	406983	MIR200A	292	4.79864826E-1	DAVIES_SUCCESS
chr1	1104384	1104467	+	554210	MIR429	286	4.75350995E-1	DAVIES_SUCCESS
chr1	1109285	1133313	+	254173	TTLL10	380	6.09137859E-1	DAVIES_SUCCESS
chr1	1138887	1142089	-	8784	TNFRSF18	319	8.05235325E-1	DAVIES_SUCCESS
chr1	1146705	1149548	-	7293	TNFRSF4	306	7.97298881E-1	DAVIES_SUCCESS
chr1	1152287	1167447	-	51150	SDF4	306	8.45750805E-1	DAVIES_SUCCESS
chr1	1167628	1170420	+	126792	B3GALT6	266	9.19249515E-1	DAVIES_SUCCESS
chr1	1177825	1182102	-	388581	FAM132A	219	9.04369997E-1	DAVIES_SUCCESS
chr1	1189291	1209234	-	118424	UBE2J2	196	9.22285124E-1	DAVIES_SUCCESS
chr1	1215815	1227409	+	6339	SCNN1D	113	9.8734896E-1	DAVIES_SUCCESS
