chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
1	700244	714068	-	100288069	LOC100288069	16	9.69637317E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
1	761585	762902	-	79854	LINC00115	79	5.89778793E-1	DAVIES_SUCCESS
1	762970	794826	+	643837	LOC643837	127	6.81683336E-1	DAVIES_SUCCESS
1	803450	812182	-	284593	FAM41C	178	7.99072186E-1	DAVIES_SUCCESS
1	852952	854817	-	100130417	LOC100130417	183	6.18393832E-1	DAVIES_SUCCESS
1	860529	879961	+	148398	SAMD11	228	7.60872142E-1	DAVIES_SUCCESS
1	879582	894679	-	26155	NOC2L	257	8.30076136E-1	DAVIES_SUCCESS
1	895966	901099	+	339451	KLHL17	217	8.37469212E-1	DAVIES_SUCCESS
1	901876	910484	+	84069	PLEKHN1	225	8.80032483E-1	DAVIES_SUCCESS
1	910578	917473	-	84808	C1orf170	214	8.71195686E-1	DAVIES_SUCCESS
1	934341	935552	-	57801	HES4	221	8.95895954E-1	DAVIES_SUCCESS
1	948846	949919	+	9636	ISG15	223	9.95412921E-1	DAVIES_SUCCESS
1	955502	991499	+	375790	AGRN	300	9.98937465E-1	DAVIES_SUCCESS
1	1007125	1009687	-	401934	RNF223	235	9.91452665E-1	DAVIES_SUCCESS
1	1017197	1051736	-	54991	C1orf159	313	9.96197366E-1	DAVIES_SUCCESS
1	1072396	1079434	+	254099	LOC254099	298	9.8677707E-1	DAVIES_SUCCESS
1	1102483	1102578	+	406984	MIR200B	291	9.5151956E-1	DAVIES_SUCCESS
1	1103242	1103332	+	406983	MIR200A	292	9.52015876E-1	DAVIES_SUCCESS
1	1104384	1104467	+	554210	MIR429	286	9.48073688E-1	DAVIES_SUCCESS
1	1109285	1133313	+	254173	TTLL10	380	8.05151323E-1	DAVIES_SUCCESS
1	1138887	1142089	-	8784	TNFRSF18	319	6.94754662E-1	DAVIES_SUCCESS
1	1146705	1149548	-	7293	TNFRSF4	306	6.5881141E-1	DAVIES_SUCCESS
1	1152287	1167447	-	51150	SDF4	306	6.55029184E-1	DAVIES_SUCCESS
